word,synonyms
alá,"['Dios', 'Todopoderoso', 'Jehová', 'Altísimo']"
altísimo,"['Yahvé', 'Jehová', 'Dios', 'Señor', 'Creador', 'Padre', 'Todopoderoso']"
antiguo testamento,"['Biblia', 'Sagrada Escritura', 'Nuevo Testamento']"
a bocajarro,"['a quemarropa', 'bruscamente', 'directamente', 'sin rodeos']"
a dios gracias,"['afortunadamente', 'felizmente', 'por fortuna', 'gracias a Dios']"
a distancia,"['aparte', 'lejos', 'apartado', 'separado']"
a espaldas,"['atrás', 'detrás']"
a excepción de,"['salvo', 'excepto', 'menos', 'aparte', 'fuera de']"
a gusto,"['ad líbitum', 'a voluntad']"
a la vez,"['al unísono', 'unánimente']"
a más,"['amén', 'además']"
a medias,"['empantanado', 'estancado', 'interrumpido', 'parado', 'paralizado', 'colgado']"
a ojo,"['aproximado', 'aproximativo', 'inexacto', 'impreciso', 'más o menos']"
a posteriori,"['después', 'posteriormente', 'luego']"
a priori,"['antes', 'anticipadamente', 'de antemano', 'con antelación', 'con anterioridad', 'previamente', 'por lo que precede']"
a propósito,['premeditadamente']
a quemarropa,"['a bocajarro', 'bruscamente', 'directamente', 'sin rodeos']"
a salvo,"['aparte', 'excepto', 'a excepción de', 'menos']"
a ultranza,"['firmemente', 'decididamente', 'resueltamente', 'consecuente', 'firme']"
a voluntad,"['ad líbitum', 'a gusto']"
ababa,"['ababol', 'amapola', 'adormidera']"
ababol,"['necio ', 'mentecato', 'distraido ']"
abacá,"['cabuya', 'cáñamo', 'fibra', 'filamento', 'pita']"
abacera,"['tendera', 'vendedora', 'suministradora', 'proveedora', 'negociante', 'comerciante']"
abacería,"['tienda de comestibles', 'ultramarinos', 'colmado', 'abarrote', 'abarrotería', 'comestible', 'almacén', 'despensa', 'coloniales', 'puesto', 'bodega']"
abacero,"['tendero', 'abarrotero', 'lonjista', 'comerciante', 'vendedor', 'suministrador', 'proveedor', 'negociante']"
abacial,"['abadengo', 'monástico', 'monacal', 'clerical', 'eclesiástico']"
abacora,"['avasalla', 'somete', 'sojuzga', 'supedita', 'rinde', 'acosa', 'hostiga']"
abacorar,"['acosar', 'acometer', 'sujetar']"
abad,"['superior', 'rector', 'prior', 'prelado', 'cura', 'sacerdote']"
abada,"['rinoceronte', 'bada']"
abadejo,"['régulo', 'reyezuelo']"
abadengo,"['abacial', 'monástico', 'monacal', 'clerical', 'eclesiástico']"
abadiato,"['abadía', 'monasterio', 'convento', 'priorato', 'cenobio', 'rábida']"
abadía,"['monasterio', 'convento', 'priorato', 'cenobio', 'rábida', 'abadiato']"
abajadero,"['bajada', 'declive', 'descenso', 'cuesta', 'pendiente', 'desnivel', 'ladera', 'declinación', 'descendimiento', 'ocaso']"
abajar,"['desvalorar', 'desvalorizar', 'bajar', 'depreciar', 'devaluar', 'abaratar', 'rebajar', 'decrecer', 'bajarse', 'menguar', 'disminuir', 'reducir', 'achicar']"
abajeño,"['sureño', 'meridional']"
abajo,['debajo']
abalanzar,"['expeler', 'arrojar', 'despedir', 'echar', 'eliminar', 'emitir', 'expulsar', 'lanzar', 'tirar', 'proyectar', 'disparar', 'derramar', 'emanar', 'extender', 'empujar', 'impeler', 'verter', 'soltar', 'despeñar']"
abalanzarse,"['arrojarse', 'lanzarse', 'echarse', 'tirarse', 'precipitarse', 'arremeter', 'embestir', 'atacar', 'acometer']"
